max,mean,min,std,sum,depto,year
{'LST_1KM': 322.20369230769234},{'LST_1KM': 306.88293500829394},{'LST_1KM': 294.64375},{'LST_1KM': 3.494558171814133},{'LST_1KM': 1252717.80302868},HN05,2020
{'LST_1KM': 321.7085714285714},{'LST_1KM': 306.3597665430788},{'LST_1KM': 293.8797333333333},{'LST_1KM': 3.1234262492099676},{'LST_1KM': 1250571.3797264905},HN05,2021
{'LST_1KM': 317.8257657657658},{'LST_1KM': 305.0714181016111},{'LST_1KM': 292.64070175438593},{'LST_1KM': 3.078038338938477},{'LST_1KM': 1245312.2959172977},HN05,2022
{'LST_1KM': 317.7584415584415},{'LST_1KM': 305.6465567750544},{'LST_1KM': 293.3376744186046},{'LST_1KM': 3.11595511648937},{'LST_1KM': 1247670.8198068386},HN05,2023
{'LST_1KM': 314.0835294117648},{'LST_1KM': 305.15601535970586},{'LST_1KM': 293.6277777777778},{'LST_1KM': 2.739214568806674},{'LST_1KM': 1245668.395122933},HN05,2024
{'LST_1KM': 317.73839999999996},{'LST_1KM': 302.22170945264253},{'LST_1KM': 291.1283870967742},{'LST_1KM': 2.4241218565686546},{'LST_1KM': 1233658.3513371178},HN05,2025
{'LST_1KM': 315.8921428571428},{'LST_1KM': 303.38763238342966},{'LST_1KM': 294.8216666666667},{'LST_1KM': 3.246343306844485},{'LST_1KM': 2610522.0830739345},HN02,2000
{'LST_1KM': 311.656923076923},{'LST_1KM': 302.4831485452289},{'LST_1KM': 295.1451948051948},{'LST_1KM': 2.8308719575944106},{'LST_1KM': 2602739.382721725},HN02,2001
{'LST_1KM': 316.4077037037036},{'LST_1KM': 302.87736905271913},{'LST_1KM': 294.9236842105264},{'LST_1KM': 3.1076490157357863},{'LST_1KM': 2606262.1362074274},HN02,2002
{'LST_1KM': 319.8405769230769},{'LST_1KM': 303.7158996373066},{'LST_1KM': 296.61341463414635},{'LST_1KM': 2.8540822975327202},{'LST_1KM': 2613471.7432507942},HN02,2003
{'LST_1KM': 310.90578124999996},{'LST_1KM': 302.43397782064426},{'LST_1KM': 294.91414634146344},{'LST_1KM': 2.68723218524827},{'LST_1KM': 2602316.289461922},HN02,2004
{'LST_1KM': 314.1132799999999},{'LST_1KM': 302.9235963756898},{'LST_1KM': 295.0538983050847},{'LST_1KM': 2.5453010506098264},{'LST_1KM': 2606659.922684157},HN02,2005
{'LST_1KM': 313.11387096774195},{'LST_1KM': 302.63682239448957},{'LST_1KM': 294.8190909090909},{'LST_1KM': 2.818015043651683},{'LST_1KM': 2604192.2303267214},HN02,2006
{'LST_1KM': 313.55372549019626},{'LST_1KM': 302.27595731939243},{'LST_1KM': 294.2543902439024},{'LST_1KM': 2.572408675521911},{'LST_1KM': 2601086.983525196},HN02,2007
{'LST_1KM': 311.9931531531532},{'LST_1KM': 302.98556561853604},{'LST_1KM': 295.33836734693875},{'LST_1KM': 2.8484876003512754},{'LST_1KM': 2607193.168504882},HN02,2008
{'LST_1KM': 314.875748031496},{'LST_1KM': 303.2669830522487},{'LST_1KM': 295.4126315789473},{'LST_1KM': 2.9667560165499327},{'LST_1KM': 2609483.9466776624},HN02,2009
{'LST_1KM': 314.2386538461539},{'LST_1KM': 303.38228934873086},{'LST_1KM': 295.6993548387097},{'LST_1KM': 2.6718802340407968},{'LST_1KM': 2610532.026043281},HN02,2010
{'LST_1KM': 319.4387301587301},{'LST_1KM': 303.7675314808936},{'LST_1KM': 294.86241379310354},{'LST_1KM': 2.9517845570817274},{'LST_1KM': 2613790.9539091703},HN02,2011
{'LST_1KM': 315.76707070707096},{'LST_1KM': 303.0152163651588},{'LST_1KM': 294.74263157894734},{'LST_1KM': 2.8203993336085125},{'LST_1KM': 2607448.3134121257},HN02,2012
{'LST_1KM': 316.903120567376},{'LST_1KM': 303.62715347583287},{'LST_1KM': 295.18465116279066},{'LST_1KM': 2.7850913920221343},{'LST_1KM': 2612708.083575385},HN02,2013
{'LST_1KM': 314.7345333333333},{'LST_1KM': 303.80121997792935},{'LST_1KM': 294.7495454545455},{'LST_1KM': 3.138155443112416},{'LST_1KM': 2614211.880664751},HN02,2014
{'LST_1KM': 311.74237762237743},{'LST_1KM': 303.55136340247856},{'LST_1KM': 292.90000000000003},{'LST_1KM': 2.806914277550079},{'LST_1KM': 2612055.9108858192},HN02,2015
{'LST_1KM': 333.15999999999997},{'LST_1KM': 304.05125357266365},{'LST_1KM': 295.5728888888889},{'LST_1KM': 2.7214236488563253},{'LST_1KM': 2616363.4217084874},HN02,2016
{'LST_1KM': 318.73544554455447},{'LST_1KM': 303.4444946991299},{'LST_1KM': 294.52133333333325},{'LST_1KM': 2.6736482611259604},{'LST_1KM': 2611142.2568428363},HN02,2017
{'LST_1KM': 317.93920792079217},{'LST_1KM': 303.68098159791003},{'LST_1KM': 295.5225000000001},{'LST_1KM': 2.780801431892039},{'LST_1KM': 2613046.2288225177},HN02,2018
{'LST_1KM': 315.24},{'LST_1KM': 304.911702761818},{'LST_1KM': 295.4467924528302},{'LST_1KM': 3.1807724658486216},{'LST_1KM': 2623767.5937297815},HN02,2019
{'LST_1KM': 314.776692913386},{'LST_1KM': 305.0037516040054},{'LST_1KM': 296.95034482758626},{'LST_1KM': 2.6023588199053433},{'LST_1KM': 2624424.516213535},HN02,2020
{'LST_1KM': 315.36724637681147},{'LST_1KM': 304.63105601478696},{'LST_1KM': 295.7817857142857},{'LST_1KM': 2.9928238028103467},{'LST_1KM': 2621352.6262704283},HN02,2021
{'LST_1KM': 313.300909090909},{'LST_1KM': 303.147205310006},{'LST_1KM': 294.33480000000003},{'LST_1KM': 2.4644809775762857},{'LST_1KM': 2608584.0793177434},HN02,2022
{'LST_1KM': 311.74307692307707},{'LST_1KM': 304.7974529317758},{'LST_1KM': 283.52},{'LST_1KM': 2.630433105751322},{'LST_1KM': 2622759.372079479},HN02,2023
{'LST_1KM': 314.2384444444445},{'LST_1KM': 303.7602341294143},{'LST_1KM': 295.6288235294119},{'LST_1KM': 2.3627261639370163},{'LST_1KM': 2613728.163290334},HN02,2024
{'LST_1KM': 305.6213333333333},{'LST_1KM': 300.4340963438985},{'LST_1KM': 293.20727272727277},{'LST_1KM': 1.929558816478391},{'LST_1KM': 2585102.2654985157},HN02,2025
{'LST_1KM': 313.27010752688176},{'LST_1KM': 303.02958175330247},{'LST_1KM': 293.0376744186047},{'LST_1KM': 3.1851790988684354},{'LST_1KM': 1381477.4010255765},HN01,2000
{'LST_1KM': 315.1},{'LST_1KM': 302.67253454473746},{'LST_1KM': 292.5791891891892},{'LST_1KM': 3.2055619869986223},{'LST_1KM': 1379897.1414517323},HN01,2001
{'LST_1KM': 317.6751724137932},{'LST_1KM': 303.0783231302327},{'LST_1KM': 292.3841558441559},{'LST_1KM': 3.3345243200451895},{'LST_1KM': 1381902.8481777285},HN01,2002
